code;libelle;category;description;keywords;use_cases;operations_read;operations_write;enrichment_score;active
learning-evaluate-photo;LEARNING - Evaluate Photo;ai;LEARNING - Evaluate Photo;;;;;0;True
learning-generate;LEARNING - Generate Dispatcher;ai;LEARNING - Generate Dispatcher;;;;;0;True
lichess-auth-callback;MCP - Lichess Auth Callback;general;MCP - Lichess Auth Callback;;;;;0;True
lichess-auth-start;MCP - Lichess Auth Start;general;MCP - Lichess Auth Start;;;;;0;True
linkedin;MCP - LinkedIn;communication;MCP - LinkedIn;;;;;0;True
llm-intention;MCP - LLM Intention;ai;MCP - LLM Intention;;;;;0;True
llm-summarizer;MCP - LLM Summarizer;ai;MCP - LLM Summarizer;;;;;0;True
mathpix;MCP - Mathpix;ai;MCP - Mathpix;;;;;0;True
mcp-calendar;MCP - Google Calendar Server;calendar;MCP - Google Calendar Server;;;;;0;True
mcp-contacts;MCP - Google Contacts Server;communication;MCP - Google Contacts Server;;;;;0;True
mcp-drive;MCP - Google Drive Server;documents;MCP - Google Drive Server;;;;;0;True
mcp-gmail;MCP - Gmail Server (All-in-One);email;MCP - Gmail Server (All-in-One);;;;;0;True
mcp-google-maps;MCP - Google Maps;recherche;MCP - Google Maps;;;;;0;True
mcp-test-echo;MCP - Test - Echo;autre;MCP - Test - Echo;;;;;0;True
mcp/tools/notify;MCP - Tools Notify;communication;Notifie les plugins via Redis Stream;;;;;0;True
member-join;MEMBERS---On-Join-Grant-Credits;communication;MEMBERS---On-Join-Grant-Credits;;;;;0;True
mention;MENTION---On-Mention-Handler;communication;MENTION---On-Mention-Handler;;;;;0;True
metadata-extractor;MCP - Metadata Extractor;recherche;MCP - Metadata Extractor;;;;;0;True
microsoft-learn;MCP - Microsoft Learn;general;MCP - Microsoft Learn;;;;;0;True
news-searcher;MCP - News Searcher;recherche;MCP - News Searcher;;;;;0;True
notif-badge-earned;NOTIF - Badge Earned;communication;Polls Redis Stream for badge:earned events;;;;;0;True
notif-course-expiring;NOTIF - Course Expiring;ai;Polls Redis Stream for course.access.expiring events;;;;;0;True
notif-level-up;NOTIF - Level Up;communication;Polls Redis Stream for level:up events;;;;;0;True
oauth-delete;MCP - OAuth Delete;general;MCP - OAuth Delete;;;;;0;True
oauth-get;MCP - OAuth Get;general;MCP - OAuth Get;;;;;0;True
orders-get;SHOPPING---Orders-Get;database;SHOPPING---Orders-Get;;;;;0;True
orders-list;SHOPPING---Orders-List;database;SHOPPING---Orders-List;;;;;0;True
pdf-extractor;MCP - PDF Extractor;documents;MCP - PDF Extractor;;;;;0;True
pdf-layout-translator;MCP - PDF Layout Translator;traduction;MCP - PDF Layout Translator;;;;;0;True
plugin-config-get;PLUGIN - Config Get;database;PLUGIN - Config Get;;;;;0;True
plugin-config-update;PLUGIN - Config Update;autre;PLUGIN - Config Update;;;;;0;True
private-channel-callback;CHANNELS---Private-Register-Callback;communication;CHANNELS---Private-Register-Callback;;;;;0;True
private-channel-request;CHANNELS - Private Check Or Create;communication;Vérifie si un channel privé existe, sinon le crée via Discord API et l'enregistre dans api-backend.;;;;;0;True
private-channel-unknown;CHANNELS - Private Handle Unknown Channel;communication;Gère le cas où un channel privé n'existe plus sur Discord. Supprime l'ancien enregistrement et recrée un nouveau channel.;;;;;0;True
product-discovery;SHOPPING---Product-Discovery-WebSearch;recherche;SHOPPING---Product-Discovery-WebSearch;;;;;0;True
products-persist;SHOPPING---Products-Persist;database;SHOPPING---Products-Persist;;;;;0;True
profile-address-add;SHOPPING---Profile-Address-Add;database;SHOPPING---Profile-Address-Add;;;;;0;True
profile-address-remove;SHOPPING---Profile-Address-Remove;autre;SHOPPING---Profile-Address-Remove;;;;;0;True
profile-address-set-default;SHOPPING---Profile-Address-Set-Default;database;SHOPPING---Profile-Address-Set-Default;;;;;0;True
profile-address-update;SHOPPING---Profile-Address-Update;autre;SHOPPING---Profile-Address-Update;;;;;0;True
profile-get;SHOPPING---Profile-Get;database;SHOPPING---Profile-Get;;;;;0;True
profile-update;SHOPPING---Profile-Update;communication;SHOPPING---Profile-Update;;;;;0;True
progress-delete;MCP - Progress Delete;general;MCP - Progress Delete;;;;;0;True
progress-get;MCP - Progress Get;general;MCP - Progress Get;;;;;0;True
progress-update;MCP - Progress Update;general;MCP - Progress Update;;;;;0;True
qdrant-save;MCP Qdrant - Save;database;MCP Qdrant - Save;;;;;0;True
qdrant-search;MCP - Qdrant - Search;recherche;MCP - Qdrant - Search;;;;;0;True
qdrant-similar;MCP - qdrant - Similar;recherche;MCP - qdrant - Similar;;;;;0;True
quiz-generator;MCP - Quiz Generator;ai;MCP - Quiz Generator;;;;;0;True
recipes-generate;Recipes - Generate;ai;Recipes - Generate;;;;;0;True
recipes-shopping;Recipes - Shopping;documents;Recipes - Shopping;;;;;0;True
recipes-timer;Recipes - Timer;autre;Recipes - Timer;;;;;0;True
recipes-timer-notify;Recipes - Timer Notify;communication;Recipes - Timer Notify;;;;;0;True
recipes-youtube;Recipes - YouTube;recherche;Recipes - YouTube;;;;;0;True
shipping-calculate;SHOPPING---Shipping-Calculate;finance;SHOPPING---Shipping-Calculate;;;;;0;True
shipping-select;SHOPPING---Shipping-Select;finance;SHOPPING---Shipping-Select;;;;;0;True
speaker-identifier;MCP - Speaker Identifier;ai;MCP - Speaker Identifier;;;;;0;True
stripe-register-project;Stripe - Register Project;finance;Enregistre les secrets Stripe d'un projet dans Redis.;;;;;0;True
stripe-subscription-cancel;Stripe - Subscription Cancel;finance;Stripe - Subscription Cancel;;;;;0;True
stripe-subscription-failure;Stripe - Subscription Payment Failure;finance;Stripe - Subscription Payment Failure;;;;;0;True
stripe-subscription-renewal;Stripe - Subscription Renewal;finance;Stripe - Subscription Renewal;;;;;0;True
stripe-subscription-success;Stripe - Subscription Success;finance;Stripe - Subscription Success;;;;;0;True
stripe-webhook;Stripe - Webhook Handler;finance;Stripe - Webhook Handler;;;;;0;True
subscription-change-plan;Stripe - Subscription Change Plan;billing;Stripe - Subscription Change Plan;;;;;0;True
subscription-checkout-create;Stripe - Subscription Checkout Create;finance;Stripe - Subscription Checkout Create;;;;;0;True
subscription-result;Stripe - Subscription Result;finance;Stripe - Subscription Result;;;;;0;True
summarizer;MCP - Summarizer;ai;MCP - Summarizer;;;;;0;True
syllabus-generator;MCP - Syllabus Generator;ai;MCP - Syllabus Generator;;;;;0;True
table-extractor;MCP - Table Extractor;ai;MCP - Table Extractor;;;;;0;True
text-classifier;MCP - Text Classifier;ai;MCP - Text Classifier;;;;;0;True
text-embedder;MCP - Text Embedder;ai;MCP - Text Embedder;;;;;0;True
text-generator;MCP - Text Generator;ai;MCP - Text Generator;;;;;0;True
text-to-speech;MCP - Text to Speech;ai;MCP - Text to Speech;;;;;0;True
tokenizer;MCP - Tokenizer;ai;MCP - Tokenizer;;;;;0;True
tools-enricher;MCP - Tools Enricher;tools;Enrichir automatiquement les métadonnées des tools n8n et les indexer dans Qdrant;;;;;0;True
vector-store;MCP - Vector Store;ai;MCP - Vector Store;;;;;0;True
veo-video;MCP Veo Video;ai;MCP Veo Video;;;;;0;True
video-transcription;MCP - Transcriber;ai;MCP - Transcriber;;;;;0;True
web-scraper;MCP - Web Scraper;recherche;MCP - Web Scraper;;;;;0;True
web-search;LLM - Web Search;recherche;LLM - Web Search;;;;;0;True
youtube-searcher;MCP - YouTube Searcher;recherche;MCP - YouTube Searcher;;;;;0;True
